,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
count,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0
mean,1300.4327395348837,113.46268372093022,108.64806004228329,133.8398063424947,139.2219754756871,120.8550600422833,21.05727906976744,107.66396617336152,167.4948291754757,97.76150824524314,81.38010486257927,92.0674135306554,97.15571754756871,92.00386849894291,133.33255687103593,73.73089260042283,53.669910359408036,21.05727906976744,154.16587188160676,79.21953065539113,147.22169048625793,67.07248456659619,56.218317124735734,67.49585539112051,60.20390951374207,21.05727906976744,59.13165581395348,47.36111289640592,74.6080621564482,232.9967758985201
std,1196.1123051253344,72.75839615487845,83.68316063856078,105.16418923891786,72.74648272497822,105.80816857472949,2.5451927261913747,92.92949530703856,130.8730626323571,97.87023218665733,80.88992620836068,91.4154498023726,89.17360219280337,84.0589337702657,106.79815329329644,74.99723054263121,51.383574017893906,2.5451927261913747,138.84846729479972,76.10500678583996,127.15164668780757,62.68213521697351,50.26349810735625,63.50289871038323,57.154351840985754,2.5451927261913747,54.9658846854461,42.39369186949952,71.48509965325421,183.13501981949855
min,0.0,-35.789,-29.563,-30.247000000000003,0.0,-20.89,0.0,-18.27,-12.217,-10.453999999999995,-6.554999999999996,-3.9570000000000007,-2.163000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,298.148,67.056,22.88,22.88,89.33099999999999,22.88,20.02,22.165,22.88,20.02,20.02,20.02,20.02,20.02,22.165,20.02,20.02,20.02,22.88,20.02,20.02,20.02,20.02,20.02,20.02,20.02,20.02,20.02,20.02,22.88
50%,1094.7669999999998,107.803,98.918,128.874,164.04,101.984,20.02,87.271,158.166,61.81299999999999,25.74,62.895,65.584,64.354,134.444,22.88,22.88,20.02,121.95399999999998,25.74,147.56799999999998,25.238,22.88,25.74,22.88,20.02,22.88,22.88,25.74,186.46
75%,1947.6,154.097,153.85699999999997,200.828,194.577,194.228,22.88,176.45299999999995,266.073,154.613,128.817,137.65699999999998,162.867,150.188,223.187,110.763,80.04599999999999,22.88,250.485,135.005,258.616,108.137,85.333,108.64,88.87599999999998,22.88,85.691,65.771,114.009,396.43
max,10481.182,523.4549999999999,728.9679999999998,764.1339999999999,295.702,857.587,28.6,552.327,748.471,764.4440000000001,557.757,694.362,608.192,525.4089999999999,486.264,564.32,384.367,28.6,901.1269999999998,493.06,622.091,381.1529999999999,322.862,383.858,333.944,28.6,497.822,273.03,705.7269999999999,888.884
