code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
1160,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Fail,app
1161,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,app
1162,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,TPassionne,MoyPassionne,TPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,TPassionne,TPassionne,MoyPassionne,TPassionne,TPassionne,PeuPassionne,MoyPassionne,MoyPassionne,TPassionne,TPassionne,Pass,app
1163,MoyPassionne,MoyPassionne,TPassionne,MoyPassionne,TPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,NonPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,TPassionne,Pass,app
1164,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,app
1165,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,Pass,app
1166,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,MoyPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,TPassionne,TPassionne,MoyPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,MoyPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,MoyPassionne,Pass,app
1167,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,app
1168,PeuPassionne,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,Pass,app
1169,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,app
1170,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,app
1171,MoyPassionne,TPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,MoyPassionne,Pass,app
