,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
count,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0
mean,1281.0148613107822,104.44729852008456,99.13190909090909,124.22771585623677,77.30291035940802,110.34525919661732,9.730486257928119,97.35158012684991,106.55857632135306,87.54516617336152,70.88299873150105,81.99259154334038,87.03776490486257,81.6445864693446,72.6494731501057,63.276754334038046,42.974993234672304,9.730486257928119,149.63789006342495,68.52637843551796,83.13615010570824,56.547210147991535,45.968207188160676,56.81606257928118,49.41938308668076,9.730486257928119,48.49206849894291,36.579448625792814,64.15531078224102,168.14418942917547
std,1184.8915063097386,74.08780451844028,84.56951503198948,106.14159302797277,48.8962682571659,106.05060296889404,1.1521061308398963,93.4098604771903,103.5979241075142,98.71942389610538,81.4492497542487,92.40902723761151,90.14945830275717,84.73466634370853,70.68209560704986,75.75437867517209,51.94513623240367,1.1521061308398963,146.6068403385128,76.4472052654667,84.62282136675799,63.34521789403957,51.585643052038975,63.96179446366534,57.47296399109457,1.1521061308398963,55.482783733767874,42.89654073043028,72.19810591313578,135.74751371661688
min,0.0,-49.983,-41.483,-40.25800000000001,-22.142000000000003,-33.308,0.0,-27.933000000000003,-22.783,-22.833,-16.833,-14.283,-11.358,-10.358,0.0,-3.982999999999999,-2.008000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,292.22200000000004,58.084,10.4,10.4,28.412,10.4,7.8,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,7.8,10.4,10.4,10.4,10.4,10.4,10.4,10.4,7.8,10.4,10.4,10.4,10.4
50%,1070.891,99.299,89.962,118.713,87.70599999999999,92.832,10.4,77.31500000000001,79.42399999999999,51.396,10.4,51.984,55.248,53.783,40.352,10.4,10.4,10.4,114.419,10.4,45.119,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,151.342
75%,1931.717,145.728,144.606,192.861,115.823,184.343,10.4,167.136,179.57999999999998,144.94299999999998,119.22,128.316,153.839,140.43099999999998,127.832,100.92499999999998,69.526,10.4,249.111,125.613,149.863,98.474,75.607,98.416,78.82,10.4,75.39200000000001,55.392,104.077,272.766
max,10239.734,518.52,722.491,754.4490000000001,239.113,850.1229999999999,10.4,547.15,660.539,761.89,554.3610000000001,689.069,605.254,522.708,380.82499999999993,561.435,373.632,10.4,960.554,480.836,499.766,375.53600000000006,327.91,372.354,320.437,10.4,482.002,260.804,697.4559999999999,754.165
