code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
1690,PeuIntense,FaibleIntense,PeuIntense,PeuIntense,FaibleIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,FaibleIntense,Dropout,app
1691,PeuIntense,FaibleIntense,PeuIntense,PeuIntense,FaibleIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,FaibleIntense,Dropout,test
1692,PeuIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Dropout,app
1693,PeuIntense,FaibleIntense,PeuIntense,PeuIntense,FaibleIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,FaibleIntense,Dropout,app
1694,PeuIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Dropout,app
1695,MoyIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,Pass,app
1696,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,FaibleIntense,Dropout,app
1697,PeuIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,FaibleIntense,Fail,app
1698,MoyIntense,MoyIntense,TIntense,MoyIntense,MoyIntense,TIntense,MoyIntense,TIntense,TIntense,TIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,TIntense,TIntense,TIntense,MoyIntense,MoyIntense,TIntense,TIntense,MoyIntense,TIntense,TIntense,TIntense,MoyIntense,TIntense,TIntense,TIntense,PeuIntense,Pass,test
1699,PeuIntense,MoyIntense,PeuIntense,MoyIntense,MoyIntense,TIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Dropout,app
1700,MoyIntense,TIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,Fail,app
1701,MoyIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,TIntense,MoyIntense,TIntense,TIntense,TIntense,TIntense,MoyIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,Pass,app
1702,PeuIntense,MoyIntense,PeuIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Pass,app
