code_student;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
1;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
