code_student;0;1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;26;27;28;29
1;1148;14;2;;5;;;;6;;27;17;4;;;;21;1;2;;;;;;;;33
2;542;14;;51;3;42;;;;;;;;;;;;;;;;;;;;;1
3;430;89;41;36;2;;;;;;;;;;;;4;;;;;;;;;;
4;282;7;13;;;;;;;;;;;;;;;;;;;;;;;;2
5;1478;44;14;70;3;68;27;33;42;41;5;114;92;34;;;85;85;51;25;6;36;16;;1;64;21
6;3662;72;25;168;16;134;119;16;16;7;16;44;24;25;53;9;146;160;76;68;16;22;23;23;13;43;83
7;696;5;2;83;9;89;76;2;12;4;65;52;;1;;;2;;;;;;;;;;
8;2763;107;87;203;14;167;115;2;3;35;159;33;57;15;11;9;193;107;79;71;6;80;36;1;;9;21
9;7238;70;79;178;11;32;65;94;58;74;38;131;234;36;8;6;188;13;8;;2;136;12;6;1;4;35
10;79;5;4;;;;;;;;;;;;;;2;;;;;;;;;;1
11;0;;;;;;;;;;;;;;;;;;;;;;;;;;
12;4142;14;9;75;5;92;62;41;45;59;62;67;110;58;49;2;70;63;62;65;51;51;65;67;22;26;6
13;763;4;;;1;;;;5;;8;10;27;;20;;;;;;;11;;;;;4
14;2966;10;16;82;5;83;69;53;36;146;78;112;125;80;140;110;343;203;84;83;23;97;94;28;16;111;55
15;91;;;;;;;;;;;;;;;;;;;;;;;;;;3
16;430;45;;2;;;;;23;;;;;;;;;;;;;;;;;;1
17;1947;66;74;181;5;241;187;122;202;61;147;201;224;143;140;96;126;155;121;138;96;181;134;143;116;130;263
18;0;;;;;;;;;;;;;;;;;;;;;;;;;;
19;298;;9;2;6;5;2;;;;;;;;;;5;;;;;;;;;;2
20;254;4;3;5;;21;4;;;;;;;;;;;;;;;;;;;;2
21;2851;79;147;66;26;105;43;155;74;30;194;101;176;107;222;60;223;116;124;18;34;28;12;20;10;80;135
22;1212;87;88;48;8;26;8;24;46;29;38;17;50;4;11;6;76;10;10;21;11;4;1;3;3;53;3
23;3287;51;131;142;26;134;143;64;74;121;136;120;139;93;168;93;200;136;115;111;26;77;59;26;25;153;64
24;1619;87;90;58;8;147;22;19;19;13;8;51;25;14;36;7;110;22;4;13;18;11;5;19;10;72;61
25;787;;20;49;;;3;;;;7;17;4;;9;;1;;;;;;;;;;
26;1620;18;;73;10;75;74;26;;;;73;88;53;;;137;68;22;;;53;11;31;;29;21
27;4736;5;13;25;3;13;25;1;3;9;23;39;10;11;;4;56;23;19;16;;10;6;2;;8;23
28;2;;;;;;;;;;;;;;;;;;;;;;;;;;
29;3537;19;63;164;12;235;184;136;203;165;157;184;133;91;107;149;347;277;240;205;187;152;190;73;61;270;157
30;192;1;10;;;;;1;;;;;;;;;;;;;;;;;;;
31;5085;59;85;116;22;247;183;137;83;100;118;147;119;91;53;75;326;133;153;141;89;92;143;218;93;210;162
32;1395;22;20;6;6;3;4;42;15;24;10;48;23;7;2;20;28;1;8;4;7;11;12;18;4;38;13
33;151;23;16;;;;;;;;;;;;;;;;;;;;;;;;5
34;953;35;10;122;9;82;72;48;18;1;;;;;;;;;;;;;;;;;4
35;1149;74;121;70;6;59;53;80;47;22;55;51;51;2;;;3;;;;;;;;;;2
36;335;4;7;;1;;;;;;;;;;;;2;;;;;;;;;;6
37;353;24;3;;;;;;;;;;;;;;2;;;1;;;;;;1;1
38;2298;54;20;71;5;93;73;136;210;127;115;119;112;60;141;85;91;91;90;75;48;43;22;61;17;54;89
39;0;;;;;;;;;;;;;;;;;;;;;;;;;;
40;390;2;;107;4;55;;;;;;;;;;;;;;;;;;;;;
41;1548;5;6;86;2;144;94;101;43;66;59;85;73;62;10;2;96;66;88;63;10;87;39;4;;50;11
42;757;16;72;1;1;2;2;;4;13;2;5;33;;;;76;37;15;2;;1;;;;;1
43;90;;;;;;;;;;2;11;1;1;;;;;;;;;;;;;
44;1431;44;50;8;5;22;6;7;22;7;11;1;5;;;;47;15;8;;3;23;14;7;1;17;22
45;0;;;;;;;;;;;;;;;;;;;;;;;;;;
46;825;9;4;68;2;91;71;23;8;9;;;;;;;;;;;;;;;;;4
47;1220;119;129;140;18;113;34;18;10;67;30;15;1;5;;;2;;;;;;;;;;15
48;77;6;;4;;;;;;;;2;;;;;;;;;;;;;;;
49;1974;30;35;1;10;36;59;39;;18;10;23;14;;;16;109;;22;7;6;15;;20;;26;20
50;1824;24;17;57;6;95;110;4;4;8;5;50;40;5;3;2;74;60;36;20;3;3;13;11;2;6;45
51;2388;60;44;113;9;96;34;7;34;65;19;120;26;;72;;197;92;87;75;65;67;;;;;6
52;246;;75;19;3;3;;1;;;;;;;;;3;;;;;;;;;;8
53;2222;21;18;105;11;103;68;65;70;178;49;111;158;56;49;23;117;84;110;159;11;64;83;10;32;113;49
54;1398;;;;2;;2;34;5;12;9;6;9;2;2;3;61;;6;;3;1;6;8;3;46;12
55;2193;19;6;71;3;76;29;18;8;9;11;76;78;51;;;89;53;50;60;2;42;74;;;86;6
56;222;52;2;;;;;;;;;;;;;;;;;;;;;;;;5
57;2916;25;53;174;22;63;90;77;57;37;52;35;87;14;65;12;103;17;42;21;15;54;23;47;22;43;134
58;1890;40;27;22;3;8;5;12;33;6;23;16;23;16;19;8;40;19;25;22;11;14;9;18;22;20;61
59;813;;;55;;4;1;;;3;;53;63;44;;;44;;1;;;22;;;;43;6
60;2189;17;67;117;12;93;89;126;221;120;164;72;130;53;121;69;137;97;81;60;49;71;54;68;73;105;149
61;1185;4;6;55;4;48;50;;9;47;105;79;87;40;;;116;111;72;111;1;105;50;12;;33;19
62;3312;36;42;112;10;186;106;37;23;98;44;81;39;12;20;9;64;9;10;10;9;32;9;23;5;69;122
63;269;16;39;32;5;75;3;2;4;2;2;;;;;;3;;;;;;;;;;
64;2171;72;16;69;6;101;22;92;31;4;35;33;11;7;29;2;11;1;3;10;6;18;13;16;5;24;16
65;190;7;2;;;;;;;;;;;;;;;;;;;;;;;;1
66;1498;5;4;28;6;37;9;6;;;2;20;16;1;2;11;34;4;44;6;10;3;;;;43;5
67;8159;25;22;66;15;94;68;43;66;60;17;75;91;57;47;19;49;75;105;90;8;94;69;19;44;131;63
68;4868;94;128;79;8;87;83;136;180;122;88;130;156;82;163;96;164;123;124;137;73;150;89;68;28;44;58
69;1958;24;27;61;10;95;48;38;52;6;;51;31;1;13;;87;65;46;10;2;27;18;13;1;36;15
70;613;23;88;37;21;94;12;4;7;2;;;;;;;9;;;;;;;;;;1
71;1037;15;1;41;10;24;2;13;11;4;1;7;6;1;;2;5;;1;;2;11;11;9;;37;16
72;1809;48;42;30;9;15;4;6;3;1;;4;7;16;13;6;231;68;167;1;7;1;1;1;1;1;3
73;0;;;;;;;;;;;;;;;;;;;;;;;;;;
74;2543;76;94;94;7;101;70;38;18;77;53;91;83;45;8;6;193;83;88;77;63;56;63;8;10;61;23
75;1667;30;11;94;22;121;83;50;14;33;2;104;63;55;14;;111;81;105;76;10;48;55;43;;10;10
76;24;6;1;;;;;;;;;;;;;;;;;;;;;;;;1
77;723;11;22;79;8;78;35;36;37;75;34;51;27;3;3;3;6;3;1;1;;;;;;;6
78;1579;21;77;92;2;2;76;74;9;;23;53;19;3;18;;6;6;4;4;;15;23;10;;7;3
79;101;;;;;;;;;;;;14;;;1;;;;;;;;;;;
80;1581;38;101;63;14;116;39;147;130;46;168;86;136;31;82;71;116;118;91;39;85;72;64;52;71;41;73
81;474;;6;3;;1;27;10;19;38;10;10;108;72;46;9;37;2;1;;;;;1;;;1
82;2471;91;88;97;12;76;79;140;144;133;76;78;95;55;72;63;112;81;61;74;28;59;62;7;24;94;37
83;336;;49;12;10;13;;3;;;;;;;;;10;;;;;;;;;;
84;495;14;58;11;3;13;8;7;;;;;;;;;;;;;;;;;;;
85;1222;66;47;80;7;90;62;34;31;57;56;97;102;72;103;17;91;79;75;83;8;88;86;17;2;82;12
86;330;6;2;;1;12;;;;;;;;;;;2;;;;;;;;;;1
87;1920;5;13;145;5;250;206;68;62;26;55;220;95;60;7;;327;176;266;130;15;48;59;9;;128;37
88;1914;25;31;53;7;10;3;22;;;;6;6;4;16;;30;5;1;3;;;;;;;2
89;3362;70;26;80;17;92;61;111;101;75;85;122;147;82;73;56;62;78;84;93;52;66;7;14;8;71;8
90;121;4;2;;;;;;;;;;;;;;3;;;;;;;;;;
91;1622;20;;;2;;17;;1;;;12;;;;;74;1;1;;;;;;;6;
92;1404;19;16;66;9;61;54;16;11;35;17;97;81;59;37;4;107;45;41;69;22;34;71;19;13;51;63
93;889;6;28;80;1;64;68;74;9;;;;;;;;;;;;;;;;;;1
94;1474;114;193;80;9;47;9;2;12;15;21;4;3;;4;2;61;1;;1;;;;;;;
95;1958;55;49;20;5;15;32;29;18;9;14;25;16;11;7;6;70;4;9;12;18;18;8;12;8;11;18
96;2241;56;15;203;8;136;128;66;107;33;42;116;81;38;1;4;203;78;82;60;3;65;37;;;41;10
97;2;;;;;;;;;;;;;;;;;;;;;;;;;;
98;121;1;;1;3;;4;;;;;;;;;;2;;;;;;;;;;
99;0;;;;;;;;;;;;;;;;;;;;;;;;;;
100;2828;66;37;167;17;57;61;77;79;92;148;70;65;49;101;55;117;94;77;60;56;69;69;60;34;80;105
101;34;3;;;;;;;;;;;;;;;;;;;;;;;;;
102;2453;53;25;71;9;63;75;95;45;38;69;121;111;80;17;12;196;82;53;90;5;104;76;101;24;44;56
103;177;12;;;;;;;;;;;;;;;;;;;;;;;;;
104;1982;;9;8;;2;3;;;;11;9;69;1;;;5;19;;;;12;;6;;16;33
105;2221;11;18;87;5;102;121;31;12;17;10;81;41;43;32;2;94;49;36;23;29;32;7;45;4;92;60
106;2481;33;14;118;3;159;142;84;26;80;50;147;129;43;25;5;63;118;69;94;13;92;32;18;;1;5
107;1314;7;5;17;7;103;57;48;4;25;6;18;67;52;27;9;93;17;14;13;14;15;17;23;7;82;39
108;5;;;;;;;;;;;;;;;;;;;;;;;;;;
109;23;;;;;;;;;;;;;;;;;;;;;;;;;;
110;1687;99;147;238;10;42;87;8;5;35;;52;81;11;58;56;95;25;53;5;27;32;39;65;33;45;112
111;2878;52;33;121;8;73;169;125;40;30;65;87;142;76;29;;228;148;135;98;12;117;63;13;1;;16
112;0;;;;;;;;;;;;;;;;;;;;;;;;;;
113;43;3;;;;;;;;;;;;;;;;;;;;;;;;;
114;2045;53;41;90;9;41;42;22;55;41;10;74;78;53;18;;121;79;67;74;39;40;17;;2;74;18
115;3519;160;287;133;20;155;107;241;221;112;119;108;95;63;132;104;113;73;67;112;54;78;66;78;20;132;104
116;2137;53;49;;8;20;20;5;48;;17;28;52;1;5;2;46;2;14;1;;25;6;4;;24;3
117;1477;23;52;101;9;151;74;95;38;5;62;98;34;10;4;3;131;148;7;39;1;68;46;13;5;11;10
118;1956;14;19;21;7;4;6;;3;11;;36;11;8;11;;49;12;12;13;19;9;9;11;5;6;17
119;4;;;;;;;;;;;;;;;;;;;;;;;;;;
120;394;8;3;67;6;1;;19;2;;;4;;;;;;;;;;;;;;;2
121;2335;29;21;42;4;20;26;15;39;9;38;37;48;59;77;13;62;16;17;12;19;30;29;38;16;41;27
122;0;;;;;;;;;;;;;;;;;;;;;;;;;;
123;1472;3;;5;2;;9;;;;;23;20;5;1;1;83;;;;;;;;;;29
124;0;;;;;;;;;;;;;;;;;;;;;;;;;;
125;1287;50;28;47;5;92;48;4;6;16;64;94;89;34;8;;91;66;63;69;8;68;24;5;7;34;10
126;33;;;;;;;;;;;;;;;;;;;;;;;;;;
127;1390;2;2;33;2;;;1;10;;5;14;31;2;23;9;73;17;12;3;11;9;7;9;11;9;16
128;0;;;;;;;;;;;;;;;;;;;;;;;;;;
129;127;3;;18;2;24;1;;;;;;;;;;;;;;;;;;;;
130;1168;5;9;7;3;6;3;3;3;;;23;6;;;;64;;;33;6;42;18;5;7;2;
131;2655;36;22;14;5;93;20;9;19;24;21;59;95;24;20;20;225;12;9;39;17;38;30;15;17;1;53
