code_student;0;1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;26;27;28;29
1;203;4;2;;1;;;;3;;4;1;1;;;;11;1;2;;;;;;;;5
2;147;4;;14;1;9;;;;;;;;;;;;;;;;;;;;;1
3;151;17;9;12;1;;;;;;;;;;;;4;;;;;;;;;;
4;111;7;10;;;;;;;;;;;;;;;;;;;;;;;;2
5;420;12;8;11;2;11;5;10;14;20;4;19;8;5;;;28;15;3;2;4;5;2;;1;4;8
6;861;27;12;19;7;21;15;10;13;3;9;11;5;6;17;7;43;19;13;12;5;3;2;5;5;4;10
7;278;3;2;10;5;10;9;1;8;4;13;12;;1;;;2;;;;;;;;;;
8;562;35;15;18;8;11;8;2;2;5;16;3;4;1;6;5;41;22;7;5;4;2;1;1;;2;3
9;1344;39;24;26;7;8;12;26;23;37;7;26;24;6;2;2;20;4;2;;1;19;4;3;1;2;12
10;20;2;2;;;;;;;;;;;;;;2;;;;;;;;;;1
11;1;;;;;;;;;;;;;;;;;;;;;;;;;;
12;999;7;7;13;3;13;10;12;21;30;15;15;20;9;21;2;20;18;14;10;13;8;15;16;8;2;3
13;147;2;;;1;;;;1;;4;2;1;;1;;;;;;;1;;;;;1
14;833;5;12;14;2;10;11;19;14;37;23;22;15;9;24;12;102;27;18;13;16;11;17;9;10;14;22
15;30;;;;;;;;;;;;;;;;;;;;;;;;;;1
16;146;9;;2;;;;;2;;;;;;;;;;;;;;;;;;1
17;526;16;18;17;4;20;19;24;27;23;21;23;18;13;28;15;29;24;13;10;17;15;20;22;19;21;45
18;1;;;;;;;;;;;;;;;;;;;;;;;;;;
19;106;;7;2;3;2;1;;;;;;;;;;4;;;;;;;;;;1
20;87;3;3;1;;9;1;;;;;;;;;;;;;;;;;;;;2
21;694;27;21;16;6;10;7;22;7;7;27;12;19;9;28;10;40;12;14;2;9;5;2;5;3;6;31
22;307;13;12;5;3;4;3;4;5;6;8;2;9;1;2;2;19;2;2;2;2;2;1;1;2;5;1
23;947;32;30;22;12;26;23;17;31;38;37;29;29;13;26;19;78;38;26;24;10;12;12;11;9;29;10
24;277;11;6;4;4;8;3;4;4;4;6;4;3;3;4;1;13;3;2;2;1;2;1;2;1;5;10
25;175;;4;6;;;2;;;;2;2;1;;1;;1;;;;;;;;;;
26;414;13;;13;5;12;11;5;;;;12;11;10;;;37;8;3;;;2;2;3;;2;10
27;661;3;7;9;3;2;3;1;2;4;7;7;4;2;;3;11;2;2;1;;3;2;2;;4;8
28;1;;;;;;;;;;;;;;;;;;;;;;;;;;
29;905;8;12;23;6;22;17;22;54;41;46;30;26;22;36;30;66;30;26;26;41;17;23;19;25;29;43
30;89;1;2;;;;;1;;;;;;;;;;;;;;;;;;;
31;1032;22;18;26;12;24;23;29;23;31;32;32;21;13;14;10;53;32;25;16;24;14;25;23;23;29;44
32;365;13;8;3;3;1;2;2;1;3;4;7;5;3;1;7;6;1;2;1;2;1;1;4;3;5;6
33;74;19;9;;;;;;;;;;;;;;;;;;;;;;;;2
34;282;12;7;11;3;10;9;13;9;1;;;;;;;;;;;;;;;;;1
35;353;12;16;6;5;14;10;12;8;6;10;6;4;2;;;3;;;;;;;;;;2
36;124;4;5;;1;;;;;;;;;;;;2;;;;;;;;;;1
37;216;15;3;;;;;;;;;;;;;;2;;;1;;;;;;1;1
38;830;24;13;13;5;17;14;22;41;43;30;23;19;10;27;13;19;22;20;11;13;10;4;15;8;14;25
39;1;;;;;;;;;;;;;;;;;;;;;;;;;;
40;154;2;;11;2;5;;;;;;;;;;;;;;;;;;;;;
41;431;3;5;9;2;14;15;16;12;22;12;13;11;5;9;2;21;9;9;3;5;6;6;1;;4;3
42;269;7;4;1;1;1;1;;2;2;2;1;4;;;;8;1;1;1;;1;;;;;1
43;67;;;;;;;;;;2;4;1;1;;;;;;;;;;;;;
44;304;14;10;3;4;3;3;3;6;3;5;1;1;;;;15;3;3;;3;1;1;1;1;2;7
