code_etudiant;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
26;327.91499999999996;26.648;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;29.436;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
27;1002.737;25.5;25.664;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.32;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.5
28;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
29;1889.281;19.125;19.289;19.945;19.125;19.125;19.125;19.125;19.125;19.945;19.289;20.109;20.437;20.109;20.109;19.617;19.125;19.125;25.521;19.125;19.125;20.109;22.569;19.617;19.453;19.125;19.125;19.125;19.945;20.273
30;112.143;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
31;1581.9520000000002;25.5;25.5;26.32;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.828;25.828;25.5;25.5;25.5;25.5;31.076;25.5;25.5;25.664;26.976;25.5;25.5;25.5;25.828;25.664;25.828;27.304
32;706.291;25.664;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.992;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
33;66.02799999999999;20.601;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
34;505.069;19.617;19.289;19.289;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
35;491.98;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
36;306.80899999999997;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
37;350.688;19.289;19.289;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.289;19.125;19.125;19.289;19.125;19.125;19.125;19.125;19.125;19.125;19.289;19.289
38;1213.6950000000002;27.14;25.828;25.992;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.828;25.828;25.5;25.664;25.5;25.5;26.484;25.5;25.5;25.664;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.664
39;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
40;179.79700000000003;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
41;321.52900000000005;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.664;25.828;25.5;25.5;25.5;25.5;27.14;25.5;25.5;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5
42;299.577;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.32;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
43;27.304;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
44;308.674;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.812;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
45;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
46;543.9570000000001;25.992;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
47;611.5010000000001;26.484;25.992;25.828;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.828;25.992;25.5;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
48;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
49;706.9169999999999;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.484;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.32;25.5
50;769.528;25.992;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.976;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.828;25.5
51;1040.945;19.781;19.781;19.617;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.945;19.125;19.125;19.125;19.125;19.125;22.897;19.125;19.125;19.289;20.273;19.125;19.125;19.125;19.125;19.125;19.125;19.125
52;94.55799999999999;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
53;957.205;19.289;19.125;19.453;19.125;19.125;19.125;19.125;19.125;19.617;19.289;19.289;19.453;19.125;19.125;19.453;19.125;19.125;21.749;19.125;19.125;19.453;19.289;19.125;19.125;19.125;19.125;19.125;19.125;19.125
54;196.61900000000003;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.484;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
55;513.331;25.5;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.992;25.5;25.5;25.5;25.5;25.5;26.32;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.828;25.5
56;118.61099999999999;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
57;1423.103;25.664;25.992;26.484;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.5;25.5;25.828;25.5;25.5;26.976;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.156;26.812
58;1355.9759999999999;26.32;25.828;26.484;25.5;25.5;25.5;25.5;25.5;25.828;25.5;25.992;25.992;25.992;26.156;25.828;25.664;25.5;28.124;25.5;25.5;25.992;26.648;26.156;25.828;25.5;25.992;26.156;26.32;26.648
59;109.85499999999999;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.5;25.5;25.5;26.648;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
60;737.1500000000001;26.156;26.648;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.828;25.828;25.5;25.5;25.5;25.5;25.5;27.796;25.5;25.5;25.664;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.992
61;268.96000000000004;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.828;25.664;25.828;25.5;25.5;25.5;25.5;28.288;25.5;25.5;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
62;1905.9;20.109;19.781;20.601;19.125;19.125;19.125;19.125;19.125;19.125;19.289;19.453;19.781;19.125;19.125;19.289;19.125;19.125;20.437;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.289
63;65.333;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
