,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
count,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0
mean,556.1259894291755,24.094244820295984,23.99099069767442,24.03987864693446,23.858403805496827,23.858403805496827,23.858403805496827,23.858403805496827,23.858403805496827,23.91720803382664,23.883575898520085,23.92490528541226,23.979063424947146,23.921576744186048,23.87886046511628,23.89487906976744,23.864159408033824,23.858403805496827,25.287388160676535,23.858403805496827,23.863119238900634,23.90306173361522,23.970742071881606,23.865962367864693,23.862772515856236,23.858403805496827,23.868805496828752,23.864159408033828,23.904171247357294,23.945015221987312
std,906.312817175608,2.7794328304965865,2.801305030340332,2.797834897307843,2.824875609270854,2.824875609270854,2.824875609270854,2.824875609270854,2.824875609270854,2.80061139759849,2.8148855028382678,2.797877864742649,2.7908913811825786,2.800995700205968,2.814811216628794,2.805835980083239,2.8212151820796327,2.824875609270854,3.3612833012603875,2.824875609270854,2.820232405309038,2.800923507584867,2.7845236216942144,2.8197751732666663,2.8210777033725547,2.824875609270854,2.8172067479383864,2.820436330929743,2.8018139857382582,2.7958383490857535
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,78.27199999999999,21.257,19.945,20.765,19.125,19.125,19.125,19.125,19.125,19.781,19.617,19.781,20.109,19.781,19.781,19.617,19.289,19.125,25.5,19.125,19.289,19.945,20.929,19.289,19.289,19.125,19.453,19.453,20.273,20.437
50%,304.316,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
75%,703.079,25.664,25.664,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,26.976,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
max,14091.027999999998,29.436,27.304,28.288,25.5,25.5,25.5,25.5,25.5,27.14,27.14,27.796,27.304,26.32,26.648,27.14,25.828,25.5,58.464,25.5,26.156,26.484,28.124,26.484,25.828,25.5,25.992,26.32,27.304,28.452
