code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
2233,Moyen,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Moyen,Moyen,Moyen,Moyen,Mediocre,Mediocre,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Mediocre,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Pass,app
2234,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,app
2235,Moyen,Mediocre,TBien,Moyen,Moyen,TBien,Mediocre,Moyen,Moyen,Mediocre,Mediocre,Moyen,Mediocre,Moyen,Moyen,Mediocre,Mediocre,Mediocre,TBien,Mediocre,Moyen,Moyen,Moyen,Moyen,Mediocre,Mediocre,Moyen,Mediocre,TBien,Moyen,Pass,app
2236,Mediocre,TBien,TBien,TBien,Moyen,TBien,TBien,TBien,TBien,TBien,Mediocre,Mediocre,TBien,TBien,Moyen,Mediocre,Moyen,TBien,Moyen,TBien,Moyen,TBien,TBien,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,Mediocre,Dropout,app
2237,Mediocre,Moyen,Mediocre,Moyen,Moyen,Moyen,Mediocre,Moyen,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,app
2238,TBien,TBien,Moyen,Moyen,TBien,TBien,Moyen,TBien,TBien,Moyen,TBien,TBien,TBien,TBien,TBien,Moyen,Moyen,Moyen,Moyen,TBien,TBien,TBien,TBien,TBien,TBien,Moyen,Moyen,TBien,TBien,TBien,Pass,app
2239,Mediocre,TBien,TBien,TBien,Moyen,TBien,TBien,TBien,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Moyen,TBien,Mediocre,Mediocre,Mediocre,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,Mediocre,Dropout,app
2240,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,TBien,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,TBien,Mediocre,Mediocre,Mediocre,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,Mediocre,Dropout,app
2241,Moyen,TBien,TBien,TBien,Mediocre,TBien,TBien,TBien,Moyen,TBien,TBien,TBien,TBien,TBien,Moyen,TBien,TBien,TBien,TBien,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,Mediocre,Pass,app
2242,Faible,Faible,Faible,Faible,Faible,Faible,Mediocre,Faible,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,app
2243,Moyen,Mediocre,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,TBien,TBien,Moyen,Moyen,Moyen,TBien,TBien,Moyen,Moyen,TBien,TBien,Moyen,Moyen,Moyen,Pass,app
2244,TBien,TBien,Moyen,Moyen,Moyen,TBien,Moyen,TBien,Moyen,TBien,Moyen,TBien,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,TBien,Moyen,TBien,TBien,TBien,TBien,Moyen,TBien,TBien,Moyen,Moyen,Pass,app
2245,Moyen,TBien,TBien,TBien,Moyen,TBien,Moyen,TBien,TBien,TBien,TBien,TBien,TBien,TBien,TBien,TBien,TBien,Moyen,TBien,TBien,TBien,TBien,TBien,TBien,TBien,Moyen,TBien,TBien,TBien,TBien,Pass,app
2246,Moyen,Mediocre,Mediocre,Moyen,Moyen,Moyen,Mediocre,Mediocre,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Mediocre,Moyen,TBien,TBien,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,TBien,TBien,Moyen,Pass,app
2247,Faible,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,app
2248,Moyen,Mediocre,Moyen,TBien,Moyen,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Pass,test
