,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
count,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0
mean,875.308686680761,24.206177589852008,22.334617336152217,22.618050739957717,97.64248625792813,24.015315856236786,11.597327695560255,19.35519238900634,104.84706004228329,22.494892177589854,25.212111627906978,20.739179704016916,20.132947145877377,18.49308245243129,101.97294460887949,18.5864355179704,15.300520084566598,11.597327695560255,30.619420718816066,20.259024101479916,113.17030824524312,15.37812684989429,15.90169133192389,16.181993234672305,16.47757378435518,11.597327695560255,16.16544186046512,14.604871035940805,17.043102748414377,124.8915488372093
std,849.3823844090238,13.006786755815536,12.302920941653111,12.326838778791005,49.34733691338158,14.832052541232938,3.1346570387940385,10.158213630425534,68.9781342881843,16.026525499446063,23.89168493329868,13.932092794993919,11.847681149860614,9.909213252727865,77.80085097881461,12.285489040705526,7.418174332785446,3.1346570387940385,24.687546614202585,14.004833441375037,94.09586219335264,7.044475196640615,8.22669451979004,8.228582763826196,10.077271333581079,3.1346570387940385,8.389285761827118,6.962516826606102,10.068790171336289,118.45866799857379
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,118.506,13.96,12.96,12.96,88.085,12.96,8.64,12.63,12.96,11.3,9.97,11.3,11.3,11.3,12.96,8.64,8.64,8.64,12.96,8.64,12.96,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,12.96
50%,794.502,21.94,19.61,20.61,117.87,18.28,12.96,16.95,134.016,16.62,14.29,15.62,16.62,15.62,145.117,12.96,12.96,12.96,20.61,12.96,157.781,12.96,12.96,12.96,12.96,12.96,12.96,12.96,12.96,22.27
75%,1381.908,30.58,28.92,29.92,132.503,35.239999999999995,12.96,25.93,161.085,30.25,26.26,26.26,27.590000000000003,23.93,172.391,21.94,17.95,12.96,44.88,25.384,202.572,18.28,18.61,19.61,17.95,12.96,19.28,17.28,19.61,247.228
max,9773.2,89.10000000000001,137.64999999999998,92.09,169.02100000000002,133.066,21.6,66.49,231.279,109.05,125.498,114.37,74.13999999999999,75.80000000000001,225.849,95.75,58.51,21.6,200.82,87.39800000000001,254.201,49.2,67.49,71.172,72.93,21.6,65.83,69.82,81.65,347.038
